CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,,,
Genética I,10/11/2025,,Lunes,9:00,13:00,0,1101,,,,10,Genética I
Genética I,10/11/2025,,Lunes,15:00,17:00,0,1101,,,,10,Genética I
ECONOLab: Int.al Modelado,,,Lunes,17:00,19:00,0,1101,DC,Kejsefman,,25,ECONOLab:Int.al Mod.y Sim.de Tópicos Nodales
Análisis Real/Medida y Probabilidad ,,,Lunes,8:00,13:00,0,1102,DM,Paternostro/Singer,,36,Análisis Real/Medida y Probabilidad 
Virología Molecular,,,Lunes,13:00,15:00,0,1102,QB,Garcia Cybele,,19,Virología Molecular
Topología/Tópicos de Topología,,,Lunes,17:00,22:00,0,1102,DM,Devoto/Arnone,,30,Topología/Tópicos de Topología
Algoritmos I/Int.Programación/Int.Comp.,,,Lunes,11:00,13:30,0,1103,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Algoritmos I/Int.Programación/Int.Comp.,,,Lunes,14:00,17:00,0,1103,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Algoritmos I/Int.Programación/Int.Comp.,,,Lunes,19:30,21:30,0,1103,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Algoritmos I/Int.Programación/Int.Comp.,,,Lunes,11:00,13:30,0,1104,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Algoritmos I/Int.Programación/Int.Comp.,,,Lunes,14:00,17:00,0,1104,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Algoritmos I/Int.Programación/Int.Comp.,,,Lunes,19:30,21:30,0,1104,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Algoritmos I/Int.Programación/Int.Comp.,,,Lunes,11:00,13:30,0,1105,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
