CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,,,
Paradigmas de Programación,,,Martes,9:00,14:00,0,1101,DC,Barembaum,,26,Paradigmas de Programación
Toxicología y Química Legal,,,Martes,16:30,18:30,0,1101,QB,,,27,Toxicología y Química Legal
Tesis Seniuk Rocio,4/12/2025,,Martes,11:00,13:30,0,1102,,,,,
Control Biológico (Carla Cécere),11/11/2025,,Martes,9:00,13:00,0,1102,,,,32,Control Biológico (Carla Cécere)
Int.a la Biología Molecular y Celular,,TA,Martes,13:30,17:30,0,1102,FBMC,Colman,,37,Int.a la Biología Molecular para Paleontólogos/Introducción a la Biología Molecular y Celular d26/8/21/11
Introducción a las Bases de Datos 2025,,,Martes,18:00,22:00,0,1102,DC,D'arrigo,,38,Introducción a las Bases de Datos 2025
Álgebra Lineal Computacional/MN,,,Martes,11:00,14:00,0,1103,DC,Acevedo,,31,Álgebra Lineal Computacional/Métodos Numéricos 
Álgebra Lineal Computacional/MN,,,Martes,19:00,22:00,0,1103,DC,Acevedo,,31,Álgebra Lineal Computacional/Métodos Numéricos 
Álgebra Lineal Computacional/MN,,,Martes,11:00,14:00,0,1104,DC,Acevedo,,31,Álgebra Lineal Computacional/Métodos Numéricos 
Álgebra Lineal Computacional/MN,,,Martes,19:00,22:00,0,1104,DC,Acevedo,,31,Álgebra Lineal Computacional/Métodos Numéricos 
Álgebra Lineal Computacional/MN,,,Martes,11:00,14:00,0,1105,DC,Acevedo,,31,Álgebra Lineal Computacional/Métodos Numéricos 
Ingeniería de Software,,,Martes,19:00,22:00,0,1105,DC,Wilkinson,,22,Ingeniería de Software)/Ingeniería de Software I 
Estadística Computacional ,,,Martes,17:00,22:00,0,1106,DC,Laje,,26,Estadística Computacional 
Estadística 1/Estadística 2,NO04/11/2025,,Martes,9:30,12:30,0,1107,IC,,,27,Estadística 1/Estadística 2
Ingeniería de Software,,,Martes,19:00,22:00,0,1107,DC,Wilkinson,,22,Ingeniería de Software)/Ingeniería de Software I 
Laboratorio de Procesamiento de Inf.Met.,,,Martes,8:00,13:00,0,1108,DCAO,Osman/Balmaceda,,40,Laboratorio de Procesamiento de Información Meteorológica/Laboratorio de Procesamiento de Información Oceanográfica
Herramientas de visualización de datos,NO11/11/2025,,Martes,14:00,18:00,0,1108,IC,,,38,Herramientas de visualización de datos
Control Biológico ,11/11/2025,,Martes,13:00,17:00,0,1108,,Cécere,,18,Control Biológico (Carla Cécere)
Biometría ,,TN,Martes,18:00,21:30,0,1108,EGE,Palmerio,hasta 20/11/2025,10,Biometría 
Club de Datos,11/11/2025,,Martes,15:00,17:00,0,1109,,,,13,Club de Datos
Biometría ,25/11/2025,,Martes,13:00,17:00,0,1109,,,,,
Álgebra Lineal Computacional/MN,,,Martes,19:00,22:00,0,1109,DC,Acevedo,,31,Álgebra Lineal Computacional/Métodos Numéricos 
Reserva Comisión Interna,4/11/2025-11/11/2025-18/11/2025-25/11/2025,,Martes,11:00,14:00,0,1110,CARRO,,,24,Reserva Comisión Interna
Semana de la Ciencia,11/11/2025,,Martes,14:00,16:00,0,1110,,,,,
Club de Datos,18/11/2025-02/12/2025,,Martes,15:00,17:00,0,1110,,,,13,Club de Datos
Ingeniería de Software,,,Martes,19:00,22:00,0,1110,DC,Wilkinson,,22,Ingeniería de Software/Ingeniería de Software I 
Drug discovery ,11/11/2025,,Martes,13:00,19:00,0,1111,,Zaiat,,15,Drug discovery (Zaiat)
Biometría ,25/11/2025,,Martes,13:00,17:00,0,1111,,,,,
Fisiología Animal Comparada,2/12/2025,,Martes,13:00,17:00,0,1111,DBBE,,,27,Fisiología Animal Comparada
Ingeniería de Software,,,Martes,19:00,22:00,0,1111,DC,Wilkinson,,22,Ingeniería de Software/Ingeniería de Software I 
Biometría ,25/11/2025,,Martes,13:00,17:00,0,1112,,,,,
Int.a la Inv.Operativa y Optimización,,,Martes,19:00,22:00,0,1112,IC,Durán/Faillace,,37,Introducción a la Investigación Operativa y Optimización/Tópicos en Investigación Operativa
