CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,,,
Seminario de Álgebra Homológica,NO12/11/2025,,Miércoles,9:00,11:00,0,1101,,,,31,Seminario de Álgebra Homológica
Semana de los profesorados,12/11/2025,,Miércoles,9:00,11:00,0,1101,,,,26,Semana de los profesorados
Bases de Programación/Taller de Inf./PC,,,Miércoles,11:00,13:00,0,1101,DC,Mocskos,,39,Bases de Programación y Pensamiento Computacional/Taller de Informática/Pensamiento Computacional
Bases de Programación/Taller de Inf./PC,,,Miércoles,14:00,16:00,0,1101,DC,Mocskos,,39,Bases de Programación y Pensamiento Computacional/Taller de Informática/Pensamiento Computacional
Almacenamiento y Rec.Inf./Base de Datos,,,Miércoles,17:00,22:00,0,1101,DC,Platzer,,39,Almacenamiento y Recuperación de la Información/Base de Datos
Robótica Móvil,,,Miércoles,10:00,13:00,0,1102,DC,De Cristóforis,,14,Robótica Móvil/Fundamentos y Aplicaciones de Robótica Movil
Virología Molecular,,,Miércoles,13:00,15:00,0,1102,QB,Garcia Cybele,,19,Virología Molecular
Topología/Tópicos de Topología,,,Miércoles,17:00,22:00,0,1102,DM,Devoto/Arnone,,30,Topología/Tópicos de Topología
Algoritmos I/Int.Programación/Int.Comp.,,,Miércoles,11:00,13:30,0,1103,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Algoritmos I/Int.Programación/Int.Comp.,,,Miércoles,14:00,17:00,0,1103,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Algoritmos I/Int.Programación/Int.Comp.,,,Miércoles,19:30,21:30,0,1103,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Algoritmos I/Int.Programación/Int.Comp.,,,Miércoles,11:00,13:30,0,1104,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Algoritmos I/Int.Programación/Int.Comp.,,,Miércoles,14:00,17:00,0,1104,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Algoritmos I/Int.Programación/Int.Comp.,,,Miércoles,19:30,21:30,0,1104,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Algoritmos I/Int.Programación/Int.Comp.,,,Miércoles,11:00,13:30,0,1105,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Algoritmos I/Int.Programación/Int.Comp.,,,Miércoles,14:00,17:00,0,1105,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Algoritmos I/Int.Programación/Int.Comp.,,,Miércoles,19:30,21:30,0,1105,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Algoritmos I/Int.Programación/Int.Comp.,,,Miércoles,11:00,13:30,0,1106,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,,39,Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación
Ingeniería de Software II,,,Miércoles,17:00,22:00,0,1106,DC,,,25,Ingeniería de Software II
Climatología,,,Miércoles,8:00,11:00,0,1107,DCAO,Robleto/Ayala,,12,Climatología
