CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,,,,
Química Biológica ,,,Viernes,10:00,13:00,0,1101,QB,Santos,,18,Química Biológica 
Microbiología ,,,Viernes,14:30,16:30,0,1101,QB,Edreira,,14,Microbiología 
Almacenamiento y Rec.Inf./Base de Datos,,,Viernes,17:00,22:00,0,1101,DC,Platzer,,39,Almacenamiento y Recuperación de la Información-Base de Datos 
Int.a la Biología Molecular y Celular,,TD,Viernes,9:00,13:00,0,1102,FBMC,Colman,,37,Introducción a la Biología Molecular y Celular 
Física Teórica de Altas Energías,NO17/10/2025,,Viernes,14:00,17:00,0,1102,,,,32,Física Teórica de Altas Energías
Regresión Lineal  ,,,Viernes,17:00,21:30,0,1102,IC,Szretter,CARRO,18,Regresión Lineal  
Algoritmos II/Algoritmos y Est.de Datos,,,Viernes,9:00,14:00,0,1103,DC,,,39,Algoritmos y Estructuras de Datos-Algoritmos y Estructuras de Datos II
Algoritmos II/Algoritmos y Est.de Datos,,,Viernes,14:00,19:00,0,1103,DC,,,39,Algoritmos y Estructuras de Datos-Algoritmos y Estructuras de Datos II
Ingeniería de Software ,,,viernes,19:00,22:00,0,1103,DC,Wilkinson,,23,Ingeniería de Software 
Algoritmos II/Algoritmos y Est.de Datos,,,Viernes,9:00,14:00,0,1104,DC,,,39,Algoritmos y Estructuras de Datos-Algoritmos y Estructuras de Datos II
Algoritmos II/Algoritmos y Est.de Datos,,,Viernes,14:00,19:00,0,1104,DC,,,39,Algoritmos y Estructuras de Datos-Algoritmos y Estructuras de Datos II
Ingeniería de Software,,,viernes,19:00,22:00,0,1104,DC,Wilkinson,,22,Ingeniería de Software/Ingeniería de Software I
Algoritmos II/Algoritmos y Est.de Datos,,,Viernes,9:00,14:00,0,1105,DC,,,39,Algoritmos y Estructuras de Datos-Algoritmos y Estructuras de Datos II
Algoritmos II/Algoritmos y Est.de Datos,,,Viernes,17:00,22:00,0,1105,DC,,,39,Algoritmos y Estructuras de Datos-Algoritmos y Estructuras de Datos II
Algoritmos II/Algoritmos y Est.de Datos,,,Viernes,9:00,14:00,0,1106,DC,,,39,Algoritmos y Estructuras de Datos-Algoritmos y Estructuras de Datos II
Algoritmos II/Algoritmos y Est.de Datos,,,Viernes,17:00,22:00,0,1106,DC,,,39,Algoritmos y Estructuras de Datos-Algoritmos y Estructuras de Datos II
Bases de Programación/Taller de Inf./PC,,,Viernes,7:00,11:00,0,1107,DC,,,39,Bases de Programación y Pensamiento Computacional/Taller de Informática/Pensamiento Computacional
Bases de Programación/Taller de Inf./PC,,,Viernes,12:00,16:00,0,1107,DC,,,39,Bases de Programación y Pensamiento Computacional/Taller de Informática/Pensamiento Computacional
